Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
90001,1979,.,100.00,31.13,27.93
90001,1980,12.78,112.78,35.11,31.50
90001,1981,21.07,136.55,42.51,38.14
90001,1982,-18.02,111.94,34.85,31.27
90001,1983,32.75,148.60,46.26,41.51
90001,1984,8.12,160.66,50.01,44.88
90001,1985,4.06,167.18,52.04,46.70
90001,1986,17.99,197.26,61.41,55.10
90001,1987,7.65,212.35,66.10,59.32
90001,1988,14.27,242.65,75.53,67.78
90001,1989,19.83,290.76,90.51,81.22
90001,1990,10.49,321.25,100.00,89.73
90001,1991,11.90,359.47,111.90,100.41
90001,1992,0.70,361.99,112.68,101.11
90001,1993,-4.58,345.42,107.53,96.49
90001,1994,-1.25,341.11,106.18,95.28
90001,1995,-3.89,327.84,102.05,91.58
90001,1996,-4.31,313.73,97.66,87.63
90001,1997,3.42,324.46,101.00,90.63
90001,1998,7.90,350.11,108.98,97.80
90001,1999,-0.78,347.39,108.14,97.04
90001,2000,3.05,358.00,111.44,100.00
90001,2001,4.25,373.21,116.18,104.25
90001,2002,12.50,419.86,130.70,117.28
90001,2003,12.37,471.78,146.86,131.78
90001,2004,26.21,595.42,185.35,166.32
90001,2005,34.59,801.40,249.46,223.85
90001,2006,31.41,1053.13,327.82,294.17
90001,2007,5.77,1113.89,346.74,311.15
90001,2008,-19.42,897.59,279.41,250.72
90001,2009,-38.80,549.35,171.01,153.45
90001,2010,-3.32,531.11,165.33,148.36
90001,2011,-8.10,488.10,151.94,136.34
90001,2012,-0.95,483.44,150.49,135.04
90001,2013,14.60,554.04,172.46,154.76
90001,2014,18.77,658.06,204.84,183.82
90001,2015,11.65,734.70,228.70,205.22
90001,2016,11.91,822.17,255.93,229.66
90001,2017,10.57,909.09,282.99,253.94
90001,2018,9.08,991.60,308.67,276.99
90001,2019,8.64,1077.28,335.34,300.92
90001,2020,5.88,1140.58,355.05,318.60
90001,2021,14.66,1307.75,407.08,365.30
90001,2022,10.71,1447.85,450.69,404.43
90001,2023,7.62,1558.20,485.05,435.25
90002,1979,.,100.00,30.02,25.32
90002,1980,14.66,114.66,34.42,29.03
90002,1981,28.20,147.00,44.12,37.22
90002,1982,5.97,155.77,46.76,39.44
90002,1983,5.77,164.76,49.46,41.72
90002,1984,2.05,168.13,50.47,42.57
90002,1985,8.26,182.03,54.64,46.09
90002,1986,7.73,196.09,58.86,49.65
90002,1987,11.09,217.84,65.39,55.15
90002,1988,11.08,241.97,72.63,61.27
90002,1989,22.19,295.68,88.75,74.86
90002,1990,12.67,333.15,100.00,84.35
90002,1991,12.57,375.03,112.57,94.95
90002,1992,2.66,385.01,115.57,97.48
90002,1993,-3.83,370.28,111.15,93.75
90002,1994,-1.65,364.17,109.31,92.20
90002,1995,-0.04,364.02,109.27,92.17
90002,1996,-0.48,362.28,108.74,91.73
90002,1997,4.03,376.86,113.12,95.42
90002,1998,0.92,380.34,114.17,96.30
90002,1999,4.41,397.12,119.20,100.55
90002,2000,-0.54,394.96,118.55,100.00
90002,2001,8.21,427.36,128.28,108.21
90002,2002,8.14,462.17,138.73,117.02
90002,2003,13.68,525.40,157.71,133.03
90002,2004,30.06,683.34,205.12,173.02
90002,2005,40.61,960.83,288.41,243.27
90002,2006,23.70,1188.54,356.76,300.93
90002,2007,6.00,1259.84,378.16,318.98
90002,2008,-14.76,1073.85,322.34,271.89
90002,2009,-46.25,577.22,173.26,146.15
90002,2010,-10.35,517.47,155.33,131.02
90002,2011,1.25,523.94,157.27,132.66
90002,2012,5.95,555.10,166.62,140.55
90002,2013,16.63,647.43,194.34,163.92
90002,2014,13.54,735.06,220.64,186.11
90002,2015,13.02,830.78,249.37,210.35
90002,2016,11.20,923.83,277.30,233.91
90002,2017,10.26,1018.57,305.74,257.89
90002,2018,12.82,1149.12,344.93,290.95
90002,2019,8.45,1246.23,374.08,315.54
90002,2020,5.28,1312.03,393.83,332.19
90002,2021,12.07,1470.40,441.37,372.29
90002,2022,13.40,1667.47,500.52,422.19
90002,2023,3.26,1721.79,516.83,435.94
90003,1979,.,100.00,30.03,25.73
90003,1980,23.27,123.27,37.01,31.72
90003,1981,15.92,142.89,42.90,36.77
90003,1982,8.66,155.26,46.62,39.95
90003,1983,4.08,161.60,48.52,41.58
90003,1984,7.15,173.15,51.99,44.55
90003,1985,3.51,179.22,53.81,46.12
90003,1986,9.78,196.75,59.08,50.62
90003,1987,15.39,227.03,68.17,58.42
90003,1988,8.69,246.75,74.09,63.49
90003,1989,13.32,279.61,83.96,71.95
90003,1990,19.11,333.04,100.00,85.69
90003,1991,12.16,373.54,112.16,96.12
90003,1992,4.70,391.11,117.44,100.64
90003,1993,-1.57,384.97,115.59,99.06
90003,1994,-6.77,358.91,107.77,92.35
90003,1995,3.70,372.21,111.76,95.77
90003,1996,-1.40,366.98,110.19,94.43
90003,1997,0.31,368.11,110.53,94.72
90003,1998,9.59,403.42,121.13,103.80
90003,1999,3.47,417.43,125.34,107.41
90003,2000,-6.90,388.64,116.70,100.00
90003,2001,12.35,436.62,131.10,112.35
90003,2002,9.03,476.03,142.94,122.49
90003,2003,13.63,540.91,162.42,139.18
90003,2004,30.67,706.82,212.24,181.87
90003,2005,37.81,974.07,292.48,250.64
90003,2006,26.00,1227.38,368.54,315.82
90003,2007,6.02,1301.26,390.73,334.83
90003,2008,-15.22,1103.21,331.26,283.86
90003,2009,-45.63,599.76,180.09,154.32
90003,2010,-6.99,557.84,167.50,143.54
90003,2011,-4.18,534.54,160.51,137.54
90003,2012,4.47,558.44,167.68,143.69
90003,2013,18.50,661.72,198.69,170.27
90003,2014,15.61,765.02,229.71,196.85
90003,2015,13.33,867.03,260.34,223.09
90003,2016,12.93,979.17,294.01,251.95
90003,2017,7.69,1054.44,316.61,271.32
90003,2018,12.73,1188.63,356.91,305.85
90003,2019,7.16,1273.79,382.48,327.76
90003,2020,10.40,1406.25,422.25,361.84
90003,2021,11.95,1574.33,472.72,405.09
90003,2022,10.97,1746.96,524.55,449.51
90003,2023,7.84,1883.93,565.68,484.75
90004,1977,.,100.00,20.11,19.14
90004,1978,19.55,119.55,24.05,22.88
90004,1979,40.41,167.86,33.76,32.12
90004,1980,20.41,202.12,40.65,38.68
90004,1981,1.85,205.86,41.41,39.39
90004,1982,-29.09,145.97,29.36,27.93
90004,1983,51.76,221.52,44.56,42.39
90004,1984,2.14,226.27,45.51,43.30
90004,1985,0.35,227.06,45.67,43.45
90004,1986,8.65,246.70,49.62,47.21
90004,1987,12.23,276.86,55.69,52.98
90004,1988,27.63,353.35,71.07,67.61
