Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
010,1975,.,100.00,21.28,19.93
010,1976,6.73,106.73,22.71,21.27
010,1977,9.01,116.35,24.76,23.19
010,1978,12.62,131.03,27.88,26.11
010,1979,14.92,150.58,32.04,30.01
010,1980,13.00,170.15,36.21,33.91
010,1981,1.03,171.91,36.58,34.26
010,1982,14.50,196.85,41.89,39.23
010,1983,9.20,214.95,45.74,42.84
010,1984,16.84,251.16,53.44,50.06
010,1985,13.73,285.65,60.78,56.93
010,1986,15.42,329.71,70.16,65.71
010,1987,22.57,404.12,85.99,80.54
010,1988,15.94,468.52,99.70,93.38
010,1989,2.59,480.65,102.28,95.80
010,1990,-2.23,469.94,100.00,93.66
010,1991,-3.35,454.19,96.65,90.52
010,1992,-2.08,444.77,94.64,88.65
010,1993,-1.49,438.12,93.23,87.32
010,1994,-1.37,432.14,91.96,86.13
010,1995,-0.44,430.25,91.55,85.75
010,1996,1.43,436.38,92.86,86.97
010,1997,1.44,442.65,94.19,88.22
010,1998,2.73,454.75,96.77,90.64
010,1999,3.14,469.02,99.80,93.48
010,2000,6.98,501.74,106.77,100.00
010,2001,6.57,534.69,113.78,106.57
010,2002,8.85,581.99,123.84,115.99
010,2003,7.69,626.75,133.37,124.92
010,2004,13.10,708.84,150.84,141.28
010,2005,13.03,801.18,170.49,159.68
010,2006,4.72,839.02,178.54,167.22
010,2007,0.53,843.47,179.49,168.11
010,2008,-3.13,817.08,173.87,162.85
010,2009,-4.26,782.29,166.47,155.92
010,2010,-2.10,765.87,162.97,152.64
010,2011,-2.73,744.99,158.53,148.48
010,2012,-2.05,729.75,155.29,145.45
010,2013,-0.22,728.12,154.94,145.12
010,2014,1.09,736.02,156.62,146.69
010,2015,2.04,751.03,159.81,149.69
010,2016,1.70,763.82,162.54,152.23
010,2017,3.00,786.76,167.42,156.81
010,2018,4.37,821.13,174.73,163.66
010,2019,3.62,850.81,181.05,169.57
010,2020,4.18,886.35,188.61,176.66
010,2021,11.50,988.27,210.30,196.97
010,2022,12.31,1109.93,236.19,221.22
010,2023,6.74,1184.68,252.09,236.12
011,1975,.,100.00,18.19,19.48
011,1976,16.25,116.25,21.14,22.64
011,1977,0.08,116.34,21.16,22.66
011,1978,20.94,140.70,25.59,27.40
011,1979,17.34,165.10,30.03,32.15
011,1980,4.43,172.41,31.36,33.58
011,1981,13.82,196.25,35.69,38.22
011,1982,8.14,212.22,38.59,41.33
011,1983,13.23,240.29,43.70,46.80
011,1984,17.01,281.15,51.13,54.76
011,1985,19.48,335.91,61.09,65.42
011,1986,18.30,397.38,72.27,77.39
011,1987,20.33,478.17,86.96,93.13
011,1988,14.67,548.33,99.72,106.79
