ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
90680,06059,STANTON,CA,1.000000000,1.000000000,1.000000000,1.000000000
90703,06059,CERRITOS,CA,0.000000000,0.001212611,0.000000000,0.000148883
90720,06059,LOS ALAMITOS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90721,06059,LOS ALAMITOS,CA,1.000000000,1.000000000,1.000000000,1.000000000
90740,06059,SEAL BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90742,06059,SUNSET BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
90743,06059,SURFSIDE,CA,0.000000000,0.000000000,1.000000000,1.000000000
90808,06059,LONG BEACH,CA,0.001636983,0.000000000,0.000000000,0.001512585
90815,06059,LONG BEACH,CA,0.002257336,0.000000000,0.000000000,0.002053502
92602,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92603,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92604,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92605,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92606,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92607,06059,LAGUNA NIGUEL,CA,1.000000000,1.000000000,1.000000000,1.000000000
92609,06059,EL TORO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92610,06059,FOOTHILL RANCH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92612,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92614,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92615,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92616,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92617,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92618,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92619,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92620,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
